adduser	3.152
apparmor	4.1.1-pmx1
apt	3.0.3
apt-listchanges	4.8
apt-utils	3.0.3
base-files	13.8+deb13u6
base-passwd	3.6.7
bash	5.2.37-2+b9
bash-completion	1:2.16.0-7
bc	1.07.1-4
bind9-dnsutils	1:9.20.26-1~deb13u1
bind9-host	1:9.20.26-1~deb13u1
bind9-libs:amd64	1:9.20.26-1~deb13u1
binutils	2.44-3
binutils-common:amd64	2.44-3
binutils-x86-64-linux-gnu	2.44-3
bridge-utils	1.7.1-4+b1
bsdextrautils	2.41.5-0+deb13u1
bsd-mailx	8.1.2-0.20220412cvs-1.1
bsdutils	1:2.41.5-0+deb13u1
btrfs-progs	6.14-1
busybox	1:1.37.0-6+b8
bzip2	1.0.8-6
ca-certificates	20250419
ceph-common	19.2.3-pve4
ceph-fuse	19.2.3-pve4
chrony	4.8-4~bpo13+2
cifs-utils	2:7.4-1
conntrack	1:1.4.8-2
console-setup	1.242~deb13u1
console-setup-linux	1.242~deb13u1
coreutils	9.7-3
corosync	3.1.10-pve3
cpio	2.15+dfsg-2
criu	4.1.1-1
cron	3.0pl1-197
cron-daemon-common	3.0pl1-197
cstream	4.0.0-1
curl	8.14.1-2+deb13u4
dash	0.5.12-12
dbus	1.16.2-2
dbus-bin	1.16.2-2
dbus-daemon	1.16.2-2
dbus-session-bus-common	1.16.2-2
dbus-system-bus-common	1.16.2-2
debconf	1.5.91
debconf-i18n	1.5.91
debian-archive-keyring	2025.1
debian-faq	12.2
debianutils	5.23.2
dhcpcd-base	1:10.1.0-11+deb13u3
diffutils	1:3.10-4
dirmngr	2.4.7-21+deb13u1+b4
distro-info-data	0.66+deb13u2
dmeventd	2:1.02.205-2+pmx1
dmidecode	3.6-2
dmsetup	2:1.02.205-2+pmx1
doc-debian	11.3+nmu1
dosfstools	4.2-1.2
dpkg	1.22.22
dracut-install	106-6
dtach	0.9-7
e2fsprogs	1.47.2-3+b11
ebtables	2.0.11-6
efibootmgr	18-2
eject	2.41.5-0+deb13u1
ethtool	1:6.14.2-1
faketime	0.9.10+2024-06-05+gba9ed5b2-0.6
fdisk	2.41.5-0+deb13u1
fdutils	5.6-4+b1
file	1:5.46-5
findutils	4.10.0-3
fontconfig	2.15.0-2.3
fontconfig-config	2.15.0-2.3
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
fonts-font-awesome	5.0.10+really4.7.0~dfsg-4.1
fonts-font-logos	1.0.1-3
freeipmi-common	1.6.15-1
frr	10.6.1-1+pve3
frr-pythontools	10.6.1-1+pve3
fuse	3.17.2-3
fuse3	3.17.2-3
gcc-14-base:amd64	14.2.0-19
gdisk	1.0.10-2
genisoimage	9:1.1.11-4
gettext-base	0.23.1-2
gnupg	2.4.7-21+deb13u1
gnupg-l10n	2.4.7-21+deb13u1
gnutls-bin	3.8.9-3+deb13u4
golang-github-containers-common	0.62.2+ds1-2
golang-github-containers-image	5.34.2-1
gpg	2.4.7-21+deb13u1+b4
gpg-agent	2.4.7-21+deb13u1+b4
gpgconf	2.4.7-21+deb13u1+b4
gpgsm	2.4.7-21+deb13u1+b4
grep	3.11-4
groff-base	1.23.0-9
grub2-common	2.12-9+pmx2
grub-common	2.12-9+pmx2
grub-efi-amd64	2.12-9+pmx2
grub-efi-amd64-bin	2.12-9+pmx2
grub-efi-amd64-signed	1+2.12+9+pmx2
grub-efi-amd64-unsigned	2.12-9+pmx2
grub-pc-bin	2.12-9+pmx2
gzip	1.13-1
hdparm	9.65+ds-1.1
hostname	3.25
ifupdown2	3.3.0-1+pmx12
inetutils-telnet	2:2.6-3+deb13u3
init	1.69~deb13u1
initramfs-tools	0.148.4
initramfs-tools-bin	0.148.4
initramfs-tools-core	0.148.4
init-system-helpers	1.69~deb13u1
intel-microcode	3.20251111.1~deb13u1
ipmitool	1.8.19-9
iproute2	6.15.0-1
ipset	7.22-1+b1
iptables	1.8.11-2
iputils-ping	3:20240905-3
isc-dhcp-client	4.4.3-P1-8
iso-codes	4.18.0-1
iucode-tool	2.3.1-3
jq	1.7.1-6+deb13u3
kbd	2.7.1-2
keyboard-configuration	1.242~deb13u1
keyutils	1.6.3-6
klibc-utils	2.0.14-1
kmod	34.2-2
krb5-locales	1.21.3-5+deb13u1
ksm-control-daemon	1.5-1
less	668-1
libacl1:amd64	2.3.2-2+b1
libaio1t64:amd64	0.3.113-8+b1
libanyevent-http-perl	2.25-2
libanyevent-perl	7.170-2+b7
libapparmor1:amd64	4.1.1-pmx1
libappconfig-perl	1.71-2.3
libapt-pkg7.0:amd64	3.0.3
libapt-pkg-perl	0.1.42
libarchive13t64:amd64	3.7.4-4+deb13u1
libasound2-data	1.2.14-1
libasound2t64:amd64	1.2.14-1
libassuan9:amd64	3.0.2-2
libasyncns0:amd64	0.8-6+b5
libatomic1:amd64	14.2.0-19
libattr1:amd64	1:2.5.2-3
libaudit1:amd64	1:4.0.2-2+b2
libaudit-common	1:4.0.2-2
libauthen-pam-perl	0.16-6+b4
libavahi-client3:amd64	0.8-16
libavahi-common3:amd64	0.8-16
libavahi-common-data:amd64	0.8-16
libbabeltrace1:amd64	1.5.11-4+b2
libbinutils:amd64	2.44-3
libblas3:amd64	3.12.1-6
libblkid1:amd64	2.41.5-0+deb13u1
libbpf1:amd64	1:1.5.0-3
libbrotli1:amd64	1.1.0-2+b7
libbsd0:amd64	0.12.2-2
libbytes-random-secure-perl	0.29-4~deb13u1
libbz2-1.0:amd64	1.0.8-6
libc6:amd64	2.41-12+deb13u3
libcairo2:amd64	1.18.4-1+b1
libcap2:amd64	1:2.75-10+deb13u1+b1
libcap2-bin	1:2.75-10+deb13u1+b1
libcap-ng0:amd64	0.8.5-4+b1
libcares2:amd64	1.34.5-1+deb13u1
libc-bin	2.41-12+deb13u3
libcbor0.10:amd64	0.10.2-2
libcephfs2	19.2.3-pve4
libcfg7:amd64	3.1.10-pve3
libc-l10n	2.41-12+deb13u3
libclass-methodmaker-perl:amd64	2.25-1
libclone-perl:amd64	0.47-1+b1
libcmap4:amd64	3.1.10-pve3
libcom-err2:amd64	1.47.2-3+b11
libcommon-sense-perl:amd64	3.75-3+b5
libcompel1:amd64	4.1.1-1
libconvert-asn1-perl	0.34-1
libcorosync-common4:amd64	3.1.10-pve3
libcpg4:amd64	3.1.10-pve3
libcrypt1:amd64	1:4.4.38-1
libcrypt-openssl-bignum-perl	0.09-2+b4
libcrypt-openssl-random-perl:amd64	0.17-1+b1
libcrypt-openssl-rsa-perl:amd64	0.35-1.1
libcrypt-random-seed-perl	0.03-3
libcryptsetup12:amd64	2:2.7.5-2
libcrypt-ssleay-perl	0.73.06-2+b4
libctf0:amd64	2.44-3
libctf-nobfd0:amd64	2.44-3
libcurl3t64-gnutls:amd64	8.14.1-2+deb13u4
libcurl4t64:amd64	8.14.1-2+deb13u4
libdatrie1:amd64	0.2.13-3+b1
libdb5.3t64:amd64	5.3.28+dfsg2-9
libdbi1t64:amd64	0.9.0-6.1+b1
libdbus-1-3:amd64	1.16.2-2
libdebconfclient0:amd64	0.280
libdevel-cycle-perl	1.12-2
libdevmapper1.02.1:amd64	2:1.02.205-2+pmx1
libdevmapper-event1.02.1:amd64	2:1.02.205-2+pmx1
libdigest-hmac-perl	1.05+dfsg-1
libdouble-conversion3:amd64	3.3.1-1
libdpkg-perl	1.22.22
libdrm2:amd64	2.4.124-2
libdrm-amdgpu1:amd64	2.4.124-2
libdrm-common	2.4.124-2
libdrm-intel1:amd64	2.4.124-2
libdw1t64:amd64	0.192-4
libedit2:amd64	3.1-20250104-1
libefiboot1t64:amd64	38-3.1+b1
libefivar1t64:amd64	38-3.1+b1
libelf1t64:amd64	0.192-4
libencode-locale-perl	1.05-3
libepoxy0:amd64	1.5.10-2
libevent-2.1-7t64:amd64	2.1.12-stable-10+b1
libevent-core-2.1-7t64:amd64	2.1.12-stable-10+b1
libexpat1:amd64	2.8.3-1~deb13u1
libext2fs2t64:amd64	1.47.2-3+b11
libfaketime:amd64	0.9.10+2024-06-05+gba9ed5b2-0.6
libfdisk1:amd64	2.41.5-0+deb13u1
libfdt1:amd64	1.7.2-2+b1
libffi8:amd64	3.4.8-2
libfido2-1:amd64	1.15.0-1+b1
libfile-chdir-perl	0.1008-1.2
libfile-listing-perl	6.16-1
libfile-readbackwards-perl	1.06-2
libfilesys-df-perl	0.92-7+b4
libflac14:amd64	1.5.0+ds-2
libfontconfig1:amd64	2.15.0-2.3
libfreeipmi17	1.6.15-1
libfreetype6:amd64	2.13.3+dfsg-1+deb13u1
libfribidi0:amd64	1.0.16-1
libfstrm0:amd64	0.6.1-1+b3
libfuse2t64:amd64	2.9.9-9
libfuse3-4:amd64	3.17.2-3
libgbm1:amd64	25.0.7-2+deb13u1
libgcc-s1:amd64	14.2.0-19
libgcrypt20:amd64	1.11.0-7+deb13u1
libgdbm6t64:amd64	1.24-2
libgdbm-compat4t64:amd64	1.24-2
libglib2.0-0t64:amd64	2.84.4-3~deb13u3
libgmp10:amd64	2:6.3.0+dfsg-3
libgnutls30t64:amd64	3.8.9-3+deb13u4
libgnutls-dane0t64:amd64	3.8.9-3+deb13u4
libgoogle-perftools4t64:amd64	2.16-1
libgpg-error0:amd64	1.51-4
libgpgme11t64:amd64	1.24.2-3
libgprofng0:amd64	2.44-3
libgraphite2-3:amd64	1.3.14-2+deb13u1
libgssapi-krb5-2:amd64	1.21.3-5+deb13u1
libgstreamer1.0-0:amd64	1.26.2-2
libgstreamer-plugins-base1.0-0:amd64	1.26.2-1+deb13u1
libharfbuzz0b:amd64	10.2.0-1+deb13u1
libhogweed6t64:amd64	3.10.1-1
libhtml-parser-perl:amd64	3.83-2~deb13u1
libhtml-tagset-perl	3.24-1
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1+deb13u1
libhttp-date-perl	6.06-1
libhttp-message-perl	7.00-2
libhttp-negotiate-perl	6.01-2
libibverbs1:amd64	56.1-1
libicu76:amd64	76.1-4
libidn2-0:amd64	2.3.8-2
libinih1:amd64	59-1
libio-html-perl	1.004-3
libio-multiplex-perl	1.16-3
libio-pty-perl	1:1.20-1+b3
libio-socket-ssl-perl	2.089-1
libio-stringy-perl	2.113-2
libip4tc2:amd64	1.8.11-2
libip6tc2:amd64	1.8.11-2
libipc-run-perl	20231003.0-2
libipset13t64:amd64	7.22-1+b1
libiscsi7:amd64	1.20.0-4
libisns0t64:amd64	0.101-1+b1
